"1.請確認藍底處各查核規格指標產出日期起迄日(項目亦可參考計畫書查核點調整)
2. 各分項查核點工作天數，需等於該分項總工作天數(e.g. C1-1-1~C1-1-4的工作天數需等於C1-1總天數)",,,,,,,,,,,,
,,,,,,,,,,,,
完成度(%),大綱編碼,任務名稱,工作歸屬,預計工作天數,預計開始,預計完成,實際工期,實際開始,實際完成,前置任務,備註,
,C1-1-1,基礎影像擷取與人像辨識模組建置,拓凡,5,簽約完成後,簽約後5日,,,,,,
,C1-1-2,基礎外觀特徵分類（如髮型、上衣 / 褲子顏色）,拓凡,5,簽約完成後,簽約後15日,,,,,,
,C1-1-3,特徵標註規範與基礎資料集建立,拓凡,5,簽約完成後,簽約後25日,,,,,,
,C1-1-4,初步辨識 Demo,拓凡,5,簽約完成後,簽約後30日,,,,,,
,C1-2-1,辨識模型擴充，特徵分析眼睛大小、髮長、是否配戴眼鏡／帽子等,拓凡,20,2026/1/1,2026/3/25,,,,,,
,C1-2-2,建立角色模組資料庫（模型元件庫）,拓凡,20,2026/3/1,2026/3/25,,,,,,
,C1-2-3,整合角色生成與玩家個人化網頁（ID、角色、遊戲進度更新）,拓凡,20,2026/4/1,2026/4/22,,,,,,
,C1-2-4,網頁顯示遊玩進度紀錄功能,拓凡,5,2026/5/1,2026/5/29,,,,,,
,C1-3-1,飛行劇場互動紀錄模組,拓凡,20,2026/7/1,2026/7/15,,,,,,
,C1-3-2,互動繪畫成果保存模組,拓凡,20,2026/7/1,2026/7/31,,,,,,
,C1-3-3,玩家個人化網頁可用性測試,拓凡,20,2026/8/1,2026/8/31,,,,,,
,C2-1-2,GAI Skybox規劃：主題清單至少4種、參數矩陣至少2個,拓凡,5,簽約完成後,簽約後20日,,,,,,
,C2-2-1,C1 角色系統串接,拓凡,5,2026/1/1,2026/3/25,,,,,,
,C2-2-2,GAI Skybox 生成測試,拓凡,5,2026/2/1,2026/3/25,,,,,,
,C2-2-3,後台資料表設計與資料庫結構圖,拓凡,10,2026/3/1,2026/3/25,,,,,,
,C2-2-4,即時多人互動網頁之系統架構、介面設計及功能說明（任務提示、進度條、分數即時回饋）,拓凡,20,2026/3/21,2026/4/22,,,,,,
,C2-3-1,多人連線與網路情境測試（10 人以上同時連線）,拓凡,20,2026/7/1,2026/7/15,,,,,,
,C2-3-2,行動裝置相容性測試,拓凡,5,2026/7/1,2026/9/30,,,,,,
,C2-3-3,飛行劇場遊戲紀錄整合至前端網頁與後台系統,拓凡,20,2026/10/1,2026/11/10,,,,,,
,C2-3-4,飛行劇場軟體與硬體裝置部署,拓凡,5,2026/10/1,2026/12/31,,,,,拓凡僅負責軟體部屬測試,
,C2-4-1,飛行劇場軟體與硬體裝置現場測試,拓凡,5,2027/1/1,2027/1/31,,,,,拓凡僅負責軟體部屬測試,
,C2-4-2,軟體壓力測試及效能優化,拓凡,5,2027/2/1,2027/2/15,,,,,,
,C3-1-2,飛機樣式規劃,拓凡,5,簽約完成後,簽約後15日,,,,,,
,C3-1-4,3D 城市場景設計,拓凡,5,簽約完成後,簽約後30日,,,,,,
,C3-2-1,創作互動網頁開發，內容包含顯示作品縮圖與編號,拓凡,20,簽約完成後,簽約後15日,,,,,,
,C3-2-3,創作互動系統後台開發,拓凡,20,簽約完成後,簽約後30日,,,,,,
,C3-3-2,3D 城市場景開發：可即時顯示飛機、與場景的動態元素（建物、告示牌等）,拓凡,20,2026/4/1,2026/4/30,,,,,,
,C3-3-4,創作互動體驗內容開發：場景動態元素設計,拓凡,20,2026/5/16,2026/5/31,,,,,,
,C3-3-5,手機互動介面優化：互動指引與提示優化,拓凡,5,2026/7/16,2026/9/30,,,,,,
,C2-4-1,創作互動內容軟硬體部署及測試,拓凡,5,2026/10/1,2026/11/30,,,,,拓凡僅負責軟體部屬測試,
,C2-4-3,軟體壓力測試及效能優化,拓凡,5,2026/11/1,2027/3/31,,,,,,
